FVC file = MER_Scen2_20170701_20200701.fvc, Simulation Execution: 06/12/2020 11:56:13
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.35137496400000E+06, 0.60320817200000E+07,  0.8748561E+00,  0.0000000E+00,  0.7507524E+03,       11333,       11354,          15,          15
, 0.35136234600000E+06, 0.60320146500000E+07,  0.2707000E+00,  0.6824660E+02,  0.7507524E+03,       11303,       11352,          15,          15
, 0.35134848000000E+06, 0.60319478400000E+07,  0.7180000E-01,  0.1364803E+03,  0.7507524E+03,       11302,       11304,          15,          15
, 0.35133371700000E+06, 0.60318812200000E+07, -0.1801892E+00,  0.2047165E+03,  0.7507524E+03,       11261,       11262,          15,          15
, 0.35131683900000E+06, 0.60318151300000E+07, -0.2476050E+00,  0.2729276E+03,  0.7507524E+03,       11225,       11256,          15,          15
, 0.35129087400000E+06, 0.60317520200000E+07, -0.2467000E+00,  0.3411702E+03,  0.7507524E+03,       11220,       11226,          15,          15
, 0.35127466800000E+06, 0.60317263400000E+07, -0.4043338E+00,  0.3715363E+03,  0.7507524E+03,       11190,       11206,          15,          15
, 0.35125846300000E+06, 0.60317006600000E+07, -0.3863077E+00,  0.4019018E+03,  0.7507524E+03,       11171,       11184,          15,          15
, 0.35124225700000E+06, 0.60316749800000E+07, -0.3388067E+00,  0.4322679E+03,  0.7507524E+03,       11140,       11183,          15,          15
, 0.35122605100000E+06, 0.60316492900000E+07, -0.2650042E+00,  0.4626424E+03,  0.7507524E+03,       11139,       11182,          15,          15
, 0.35120984600000E+06, 0.60316236100000E+07, -0.2180117E+00,  0.4930079E+03,  0.7507524E+03,       11138,       11180,          15,          15
, 0.35119364000000E+06, 0.60315979300000E+07, -0.2042000E+00,  0.5233739E+03,  0.7507524E+03,       11135,       11175,          15,          15
, 0.35117743400000E+06, 0.60315722500000E+07, -0.1783711E+00,  0.5537399E+03,  0.7507524E+03,       11132,       11172,          15,          15
