id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
        7845,  0.3125308E+06,  0.6062632E+07,    17.123,   246.524
        7846,  0.3125949E+06,  0.6062615E+07,    13.937,   346.136
        7847,  0.3125590E+06,  0.6062696E+07,    19.319,   356.777
        7848,  0.3024469E+06,  0.6066259E+07,    10.018,    11.946
        7849,  0.3023818E+06,  0.6066261E+07,     3.594,     4.272
        7850,  0.3024610E+06,  0.6066299E+07,    10.637,    12.979
        7851,  0.3023962E+06,  0.6066303E+07,     3.713,     4.477
        7852,  0.3024750E+06,  0.6066340E+07,    11.607,    14.825
        7853,  0.3024107E+06,  0.6066344E+07,     3.964,     4.946
        7854,  0.3024251E+06,  0.6066386E+07,     4.292,     5.642
        7855,  0.3022559E+06,  0.6066004E+07,    15.553,   377.964
        7856,  0.3022597E+06,  0.6066109E+07,    12.258,    17.343
        7857,  0.3021945E+06,  0.6066018E+07,    14.691,   731.354
        7858,  0.3021799E+06,  0.6066094E+07,    10.448,    17.136
        7859,  0.3022105E+06,  0.6065961E+07,    15.971,  2992.736
        7860,  0.3022868E+06,  0.6066178E+07,    10.796,    13.415
        7861,  0.3022236E+06,  0.6066178E+07,     4.390,     5.696
        7862,  0.3023016E+06,  0.6066220E+07,    10.117,    12.190
        7863,  0.3022382E+06,  0.6066221E+07,     3.903,     4.745
        7864,  0.3023164E+06,  0.6066263E+07,     9.927,    11.873
        7865,  0.3022528E+06,  0.6066264E+07,     3.776,     4.522
        7866,  0.3023311E+06,  0.6066305E+07,    10.139,    12.223
        7867,  0.3022674E+06,  0.6066307E+07,     3.805,     4.574
        7868,  0.3024568E+06,  0.6066536E+07,    11.455,    15.963
        7869,  0.3024437E+06,  0.6066604E+07,    11.390,    15.910
        7870,  0.3023947E+06,  0.6066452E+07,    12.615,    17.199
        7871,  0.3023703E+06,  0.6066521E+07,    10.819,    14.887
        7872,  0.3023607E+06,  0.6066390E+07,    11.583,    14.913
        7873,  0.3023113E+06,  0.6066436E+07,     4.472,     5.931
        7874,  0.3026928E+06,  0.6066920E+07,    17.239,  4230.565
        7875,  0.3026958E+06,  0.6066977E+07,    17.090,  4304.944
        7876,  0.3025787E+06,  0.6066919E+07,    15.685,    35.611
        7877,  0.3026391E+06,  0.6066953E+07,    18.313,  3901.293
        7878,  0.3024985E+06,  0.6066774E+07,    11.093,    16.057
        7879,  0.3025158E+06,  0.6066885E+07,    13.195,    22.588
        7880,  0.3024555E+06,  0.6066844E+07,    11.796,    18.033
        7881,  0.3024411E+06,  0.6066675E+07,     9.710,    13.640
        7882,  0.3024364E+06,  0.6066737E+07,    11.986,    17.082
        7883,  0.3025272E+06,  0.6067008E+07,    17.061,  3113.229
        7884,  0.3024610E+06,  0.6066954E+07,    13.827,    28.316
        7885,  0.3023573E+06,  0.6066589E+07,    11.395,    15.882
        7886,  0.3023906E+06,  0.6066691E+07,    10.406,    14.660
        7887,  0.3023325E+06,  0.6066662E+07,    10.087,    14.150
        7888,  0.3097012E+06,  0.6064933E+07,    10.403,   447.490
        7889,  0.3096909E+06,  0.6064875E+07,    10.454,   243.907
        7890,  0.3097428E+06,  0.6064997E+07,    11.664,   705.932
        7891,  0.3097499E+06,  0.6064917E+07,     9.464,   941.741
        7892,  0.3097716E+06,  0.6064963E+07,    11.432,  1423.061
        7893,  0.3098011E+06,  0.6065058E+07,    11.781,  1405.456
        7894,  0.3097865E+06,  0.6065002E+07,    11.192,  1035.715
        7895,  0.3095829E+06,  0.6064633E+07,     9.567,    14.363
        7896,  0.3095358E+06,  0.6064555E+07,    10.918,    15.507
        7897,  0.3095944E+06,  0.6064580E+07,     9.888,    14.452
        7898,  0.3096290E+06,  0.6064715E+07,    11.672,    21.766
        7899,  0.3096294E+06,  0.6064618E+07,     9.236,    13.431
        7900,  0.3096666E+06,  0.6064667E+07,    10.937,    17.573
        7901,  0.3095708E+06,  0.6064497E+07,     9.633,    14.203
        7902,  0.3096737E+06,  0.6064801E+07,    11.337,   112.726
        7903,  0.3096935E+06,  0.6064757E+07,    11.359,    34.337
        7904,  0.3097396E+06,  0.6064859E+07,    11.872,  1085.288
        7905,  0.3097271E+06,  0.6064799E+07,    11.433,   274.287
        7906,  0.3097911E+06,  0.6065264E+07,    16.437,    85.477
        7907,  0.3098549E+06,  0.6065189E+07,    14.741,    75.417
        7908,  0.3098656E+06,  0.6065115E+07,    17.082,  1183.127
        7909,  0.3098769E+06,  0.6065031E+07,    12.983,   772.511
        7910,  0.3098973E+06,  0.6065076E+07,    13.386,  1314.462
        7911,  0.3099183E+06,  0.6065111E+07,    14.944,    73.422
        7912,  0.3144780E+06,  0.6062673E+07,    12.315,    16.559
        7913,  0.3144361E+06,  0.6062609E+07,    10.015,    12.123
        7914,  0.3145067E+06,  0.6062605E+07,     3.528,     4.402
        7915,  0.3145468E+06,  0.6062771E+07,    16.324,   352.225
        7916,  0.3145717E+06,  0.6062700E+07,    13.652,    21.282
        7917,  0.3144873E+06,  0.6062572E+07,     3.153,     3.709
        7918,  0.3146127E+06,  0.6062869E+07,    18.998,  1569.674
        7919,  0.3146392E+06,  0.6062795E+07,    17.148,   643.175
        7920,  0.3145920E+06,  0.6062945E+07,    18.544,  1747.462
        7921,  0.3145519E+06,  0.6063027E+07,    18.878,  2506.795
        7922,  0.3147028E+06,  0.6062899E+07,    17.262,  1613.910
        7923,  0.3146590E+06,  0.6062979E+07,    16.615,  2410.869
