id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       41637,  0.3712022E+06,  0.6009518E+07,     8.594,     9.730
       41638,  0.3712849E+06,  0.6009579E+07,    10.242,    11.645
       41639,  0.3711235E+06,  0.6009443E+07,     9.544,    10.790
       41640,  0.3713458E+06,  0.6009561E+07,    10.710,    12.266
       41641,  0.3714086E+06,  0.6009542E+07,    10.115,    11.537
       41642,  0.3712658E+06,  0.6009496E+07,     9.718,    11.060
       41643,  0.3713296E+06,  0.6009476E+07,     8.809,     9.963
       41644,  0.3696897E+06,  0.6007914E+07,    81.349,  4998.722
       41645,  0.3707961E+06,  0.6008860E+07,    11.443,    14.594
       41646,  0.3708234E+06,  0.6008914E+07,    11.613,    14.532
       41647,  0.3708175E+06,  0.6008745E+07,    10.890,    13.461
       41648,  0.3708494E+06,  0.6008858E+07,    11.080,    13.774
       41649,  0.3708787E+06,  0.6008784E+07,    10.349,    12.700
       41650,  0.3702229E+06,  0.6008345E+07,    11.223,    13.560
       41651,  0.3701373E+06,  0.6008285E+07,    11.292,    13.928
       41652,  0.3701992E+06,  0.6008289E+07,    11.380,    13.680
       41653,  0.3703441E+06,  0.6008359E+07,    10.501,    12.389
       41654,  0.3702588E+06,  0.6008295E+07,    10.991,    13.142
       41655,  0.3703227E+06,  0.6008300E+07,    10.923,    12.803
       41656,  0.3704536E+06,  0.6008384E+07,    11.034,    12.882
       41657,  0.3703843E+06,  0.6008307E+07,     9.863,    11.570
       41658,  0.3704411E+06,  0.6008319E+07,     9.655,    11.135
       41659,  0.3705540E+06,  0.6008420E+07,    10.081,    11.740
       41660,  0.3705362E+06,  0.6008353E+07,     9.364,    10.756
       41661,  0.3706652E+06,  0.6008461E+07,    10.622,    12.429
       41662,  0.3706328E+06,  0.6008391E+07,    10.551,    12.104
       41663,  0.3707510E+06,  0.6008528E+07,    11.788,    13.923
       41664,  0.3707462E+06,  0.6008426E+07,     9.690,    11.137
       41665,  0.3707855E+06,  0.6008462E+07,     8.760,    10.207
       41666,  0.3697554E+06,  0.6007919E+07,    78.722,  4996.947
       41667,  0.3698183E+06,  0.6007924E+07,    31.200,  3768.729
       41668,  0.3697892E+06,  0.6007867E+07,    83.626,  4997.457
       41669,  0.3697587E+06,  0.6007809E+07,    88.974,  4999.235
       41670,  0.3700829E+06,  0.6008180E+07,    12.527,    15.812
       41671,  0.3701731E+06,  0.6008236E+07,    11.420,    13.977
       41672,  0.3701449E+06,  0.6008180E+07,    11.943,    14.736
       41673,  0.3700216E+06,  0.6008083E+07,    15.638,    21.414
