FVC file = MER_Scen2_20170701_20200701.fvc, Simulation Execution: 06/12/2020 11:56:13
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.30617360292493E+06, 0.60608919272971E+07, -0.2410295E+02,           1,  0.3235846E+05,         213
, 0.30632937812460E+06, 0.60608138510840E+07, -0.2400000E+02,           1,  0.3004696E+05,         214
, 0.30650043134067E+06, 0.60607283623966E+07, -0.2400000E+02,           1,  0.3320556E+05,         215
, 0.30666365596741E+06, 0.60606512425714E+07, -0.2420194E+02,           1,  0.2827708E+05,         216
, 0.30682066761823E+06, 0.60605770847997E+07, -0.2495194E+02,           1,  0.2816098E+05,         217
, 0.30697729570288E+06, 0.60604953704530E+07, -0.2531947E+02,           1,  0.2876687E+05,         218
, 0.30712960531277E+06, 0.60604122751183E+07, -0.2556947E+02,           1,  0.2720225E+05,         219
, 0.30727742764492E+06, 0.60603311734608E+07, -0.2600000E+02,           1,  0.2995650E+05,         220
, 0.30743467430060E+06, 0.60602553050859E+07, -0.2600000E+02,           1,  0.2905427E+05,         221
, 0.30759338375318E+06, 0.60601768622831E+07, -0.2600000E+02,           1,  0.3352870E+05,         222
, 0.30775837321545E+06, 0.60600865505076E+07, -0.2600000E+02,           1,  0.3442976E+05,         223
, 0.30790070300000E+06, 0.60600512800000E+07, -0.2566667E+02,           1,  0.1532855E+05,         224
, 0.30796273000000E+06, 0.60599654500000E+07, -0.2533333E+02,           1,  0.2014657E+05,         225
, 0.30808015566667E+06, 0.60599756400000E+07, -0.2500000E+02,           1,  0.1575693E+05,         226
, 0.30818228189507E+06, 0.60598795707915E+07, -0.2500000E+02,           1,  0.2760594E+05,         227
, 0.30832996239204E+06, 0.60597938521351E+07, -0.2500000E+02,           1,  0.2866170E+05,         228
, 0.30843292833333E+06, 0.60597067033333E+07, -0.2500000E+02,           1,  0.1523698E+05,         229
, 0.30854222066667E+06, 0.60597179866667E+07, -0.2500000E+02,           1,  0.1645588E+05,         230
, 0.30859979333333E+06, 0.60596245900000E+07, -0.2542700E+02,           1,  0.1607420E+05,         231
, 0.30870641700000E+06, 0.60596357833333E+07, -0.2514854E+02,           1,  0.1592748E+05,         232
, 0.30881305713613E+06, 0.60595427007373E+07, -0.2515262E+02,           1,  0.3487441E+05,         233
, 0.30897854488794E+06, 0.60594522332345E+07, -0.2602112E+02,           1,  0.3470841E+05,         234
, 0.30914679723259E+06, 0.60593674094177E+07, -0.2697990E+02,           1,  0.3379911E+05,         235
, 0.30930579154085E+06, 0.60592945041421E+07, -0.2700000E+02,           1,  0.2717355E+05,         236
, 0.30946231508879E+06, 0.60592098572040E+07, -0.2700000E+02,           1,  0.2931811E+05,         237
, 0.30958328166667E+06, 0.60591172700000E+07, -0.2700000E+02,           1,  0.1765613E+05,         238
, 0.30969241400000E+06, 0.60591297033333E+07, -0.2700000E+02,           1,  0.1640843E+05,         239
, 0.30981041250356E+06, 0.60590354227594E+07, -0.2700000E+02,           1,  0.2902613E+05,         240
, 0.30997973210056E+06, 0.60589348316392E+07, -0.2700000E+02,           1,  0.3253253E+05,         241
, 0.31015129727770E+06, 0.60588416601287E+07, -0.2700000E+02,           1,  0.3294684E+05,         242
, 0.31031822641343E+06, 0.60587613023485E+07, -0.2700000E+02,           1,  0.2980599E+05,         243
, 0.31048904823569E+06, 0.60586756813341E+07, -0.2656948E+02,           1,  0.3011967E+05,         244
, 0.31066014352628E+06, 0.60585864974881E+07, -0.2406948E+02,           1,  0.2953445E+05,         245
, 0.31082593272234E+06, 0.60584961950870E+07, -0.2285613E+02,           1,  0.2879686E+05,         246
, 0.31098473415475E+06, 0.60584035545218E+07, -0.2435312E+02,           1,  0.3156944E+05,         247
, 0.31114916962769E+06, 0.60583047967527E+07, -0.2549700E+02,           1,  0.3125159E+05,         248
, 0.31139903500000E+06, 0.60582104433333E+07, -0.2588753E+02,           1,  0.2036273E+05,         249
, 0.31153318790583E+06, 0.60581124569121E+07, -0.2491565E+02,           1,  0.3690631E+05,         250
, 0.31124818277879E+06, 0.60584467348545E+07, -0.2349700E+02,           1,  0.3814289E+05,         251
, 0.31141992048035E+06, 0.60583616710589E+07, -0.2432696E+02,           1,  0.3656295E+05,         252
, 0.31170391134769E+06, 0.60580110784492E+07, -0.2400000E+02,           1,  0.3555832E+05,         253
, 0.31187543641307E+06, 0.60579140996715E+07, -0.2375717E+02,           1,  0.3586132E+05,         254
, 0.31204770310028E+06, 0.60578171229518E+07, -0.2375717E+02,           1,  0.3593240E+05,         255
, 0.31222014169356E+06, 0.60577199036249E+07, -0.2400000E+02,           1,  0.3599661E+05,         256
, 0.31239274945315E+06, 0.60576225169113E+07, -0.2316214E+02,           1,  0.3605874E+05,         257
, 0.31256565248913E+06, 0.60575251065689E+07, -0.2116218E+02,           1,  0.3616379E+05,         258
, 0.31273850328065E+06, 0.60574275378496E+07, -0.2121628E+02,           1,  0.3617850E+05,         259
, 0.31291145395867E+06, 0.60573299290330E+07, -0.2269199E+02,           1,  0.3624752E+05,         260
, 0.31308482282667E+06, 0.60572320789688E+07, -0.2445017E+02,           1,  0.3635855E+05,         261
, 0.31325732894448E+06, 0.60571349167327E+07, -0.2505468E+02,           1,  0.3628390E+05,         262
, 0.31342717233436E+06, 0.60570399542127E+07, -0.2408026E+02,           1,  0.3559467E+05,         263
, 0.31359249145088E+06, 0.60569595133869E+07, -0.2400000E+02,           1,  0.3311535E+05,         264
, 0.31372960533333E+06, 0.60569233166667E+07, -0.2400000E+02,           1,  0.1623740E+05,         265
, 0.31389299000000E+06, 0.60568062266667E+07, -0.2400000E+02,           1,  0.1640094E+05,         266
