id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       12564,  0.3299787E+06,  0.6052009E+07,    11.594,    14.507
       12565,  0.3300504E+06,  0.6052155E+07,    14.181,    19.898
       12566,  0.3300554E+06,  0.6052085E+07,    12.493,    16.622
       12567,  0.3301427E+06,  0.6052216E+07,    15.911,    26.560
       12568,  0.3301433E+06,  0.6052149E+07,    13.656,    20.461
       12569,  0.3301420E+06,  0.6052284E+07,    15.900,    29.476
       12570,  0.3300995E+06,  0.6052388E+07,    17.160,   363.517
       12571,  0.3301490E+06,  0.6052350E+07,    17.973,   406.415
       12572,  0.3302376E+06,  0.6052203E+07,    15.854,    32.558
       12573,  0.3301976E+06,  0.6052310E+07,    16.839,   405.089
       12574,  0.3302442E+06,  0.6052268E+07,    19.132,  1596.846
       12575,  0.3301551E+06,  0.6052413E+07,    18.398,  1413.957
       12576,  0.3295789E+06,  0.6051581E+07,    12.039,    14.846
       12577,  0.3295101E+06,  0.6051502E+07,    13.085,    16.916
       12578,  0.3295861E+06,  0.6051510E+07,     9.749,    12.002
       12579,  0.3296512E+06,  0.6051635E+07,    11.610,    14.054
       12580,  0.3296606E+06,  0.6051564E+07,     9.139,    10.951
       12581,  0.3294305E+06,  0.6051402E+07,    11.105,    17.373
       12582,  0.3295366E+06,  0.6051405E+07,    11.773,    15.260
       12583,  0.3294712E+06,  0.6051384E+07,    10.578,    15.173
       12584,  0.3297235E+06,  0.6051688E+07,    11.393,    13.653
       12585,  0.3297350E+06,  0.6051619E+07,     8.766,    10.362
       12586,  0.3293541E+06,  0.6051315E+07,    24.975,    41.734
       12587,  0.3294244E+06,  0.6051336E+07,    17.329,    27.063
       12588,  0.3297957E+06,  0.6051742E+07,    11.367,    13.581
       12589,  0.3298094E+06,  0.6051674E+07,     8.545,    10.045
       12590,  0.3298680E+06,  0.6051795E+07,    11.512,    13.780
       12591,  0.3298839E+06,  0.6051728E+07,     8.471,     9.971
       12592,  0.3292656E+06,  0.6051246E+07,    25.882,  1960.430
       12593,  0.3293730E+06,  0.6051225E+07,    13.656,    22.479
       12594,  0.3293138E+06,  0.6051212E+07,    16.599,    34.377
       12595,  0.3292549E+06,  0.6051182E+07,    18.915,  1955.260
       12596,  0.3291908E+06,  0.6051156E+07,    18.465,  2700.332
       12597,  0.3299403E+06,  0.6051848E+07,    11.952,    14.462
       12598,  0.3299583E+06,  0.6051783E+07,     8.558,    10.167
       12599,  0.3300027E+06,  0.6051924E+07,    13.036,    16.229
       12600,  0.3300327E+06,  0.6051837E+07,     8.870,    10.776
       12601,  0.3300669E+06,  0.6052011E+07,    13.442,    17.568
       12602,  0.3300798E+06,  0.6051935E+07,    11.258,    14.221
       12603,  0.3301483E+06,  0.6052079E+07,    14.050,    19.974
       12604,  0.3301524E+06,  0.6052011E+07,    12.174,    16.388
       12605,  0.3302382E+06,  0.6052136E+07,    16.025,    27.627
       12606,  0.3302385E+06,  0.6052070E+07,    13.286,    20.189
       12607,  0.3303360E+06,  0.6052183E+07,    22.488,  1631.585
       12608,  0.3303302E+06,  0.6052118E+07,    17.103,    33.857
       12609,  0.3302512E+06,  0.6052334E+07,    18.770,  2055.193
       12610,  0.3303426E+06,  0.6052249E+07,    18.033,  1615.253
       12611,  0.3304315E+06,  0.6052161E+07,    25.881,  4882.811
       12612,  0.3296678E+06,  0.6051493E+07,    11.925,    14.612
       12613,  0.3296126E+06,  0.6051413E+07,    11.540,    14.508
       12614,  0.3296728E+06,  0.6051420E+07,     9.845,    11.912
       12615,  0.3297444E+06,  0.6051548E+07,    11.542,    13.926
       12616,  0.3297513E+06,  0.6051476E+07,     9.378,    11.152
       12617,  0.3295304E+06,  0.6051339E+07,    10.630,    14.439
       12618,  0.3296560E+06,  0.6051368E+07,    10.151,    12.498
       12619,  0.3296355E+06,  0.6051291E+07,    10.921,    13.512
       12620,  0.3295682E+06,  0.6051304E+07,    11.150,    14.580
       12621,  0.3298210E+06,  0.6051604E+07,    11.332,    13.550
       12622,  0.3298298E+06,  0.6051533E+07,     9.092,    10.693
       12623,  0.3294433E+06,  0.6051246E+07,    11.922,    17.690
       12624,  0.3295028E+06,  0.6051283E+07,    14.704,    19.967
       12625,  0.3298976E+06,  0.6051660E+07,    11.324,    13.519
       12626,  0.3299083E+06,  0.6051590E+07,     8.924,    10.457
       12627,  0.3293624E+06,  0.6051160E+07,    14.980,    24.615
       12628,  0.3294811E+06,  0.6051210E+07,    12.180,    16.485
       12629,  0.3294913E+06,  0.6051140E+07,    12.209,    16.254
       12630,  0.3294148E+06,  0.6051113E+07,    13.805,    19.938
       12631,  0.3299742E+06,  0.6051716E+07,    11.521,    13.821
       12632,  0.3299868E+06,  0.6051646E+07,     8.906,    10.466
