ID,LND_phreatic,ASS_pass0_lay1,ASS_anc0_lay1,ASS_uzaass,ASS_szaass
7704,0.0000,0.2232,0.1829,0.3031,-2.7001
7705,0.0000,0.2872,0.1899,0.3034,-2.7000
7706,0.0000,0.2000,0.2000,0.0000,0.0000
7707,0.0000,0.2832,0.2033,0.2993,-2.7000
7708,0.0000,0.2000,0.2000,0.0000,0.0000
7709,0.0000,0.2000,0.2000,0.0000,0.0000
7710,0.0000,0.2804,0.1852,0.2812,-2.5487
7711,0.0000,0.2000,0.2000,0.0000,0.0000
7712,0.0030,0.2131,0.2038,0.0035,-0.0795
7713,0.0000,0.2000,0.2000,0.0000,0.0000
7714,0.0140,0.2392,0.2096,0.0618,-0.7566
7715,0.0061,0.2954,0.1986,0.1791,-1.7070
7716,0.0000,0.3222,0.1913,0.2375,-2.1491
7717,0.0000,0.2588,0.1916,0.1720,-1.5583
7718,0.0000,0.2000,0.2000,0.0000,0.0000
7719,0.0000,0.2000,0.2000,0.0000,0.0000
7720,0.0000,0.2000,0.2000,0.0000,0.0000
7721,0.0000,0.2000,0.2000,0.0000,0.0000
7722,0.0000,0.2000,0.2000,0.0000,0.0000
7723,0.0000,0.2000,0.2000,0.0000,0.0000
7724,0.0000,0.2000,0.2000,0.0000,0.0000
7725,0.0043,0.2012,0.2009,0.0000,-0.2673
7726,0.0000,0.2000,0.2000,0.0000,0.0000
7727,0.0000,0.2000,0.2000,0.0000,0.0000
7728,0.0517,0.2647,0.2320,0.3691,-10.9931
7729,0.0000,0.3326,0.2558,0.6978,-10.7994
7730,0.0000,0.2980,0.6581,0.8077,-10.7998
7731,0.0000,0.2801,0.3972,0.5351,-10.7987
7732,0.0000,0.2861,0.5898,0.6935,-10.7994
7733,0.0000,0.2926,0.7010,0.7952,-9.6352
7734,0.0000,0.3017,0.7265,0.8551,-10.3610
7735,0.0026,0.3699,0.3724,0.8831,-10.8000
7736,0.0000,0.4016,0.3323,0.8449,-10.2299
7737,0.0000,0.4326,0.6115,0.8539,-10.7999
7738,0.0000,0.4040,0.3212,0.8587,-10.8000
7739,0.1466,0.3728,0.2717,0.0000,-5.9261
7740,0.0000,0.2000,0.2000,0.0000,0.0000
7741,0.0000,0.2000,0.2000,0.0000,0.0000
7742,0.0000,0.2000,0.2000,0.0000,0.0000
7743,0.0000,0.2000,0.2000,0.0000,0.0000
7744,0.0000,0.2000,0.2000,0.0000,0.0000
7745,0.0000,0.2000,0.2000,0.0000,0.0000
7746,0.0000,0.2648,0.2275,0.1659,-2.0069
7747,0.0000,0.5260,0.6121,0.8923,-10.8000
7748,0.0000,0.6667,0.4848,0.8924,-10.8001
7749,0.0000,0.5327,0.3796,0.6937,-8.3943
7750,0.0000,0.3926,0.2839,0.4926,-5.9610
7751,0.0000,0.3769,0.2763,0.7497,-10.7996
7752,0.0000,0.2000,0.2000,0.0000,0.0000
7753,0.0000,0.2000,0.2000,0.0000,0.0000
7754,0.0000,0.2000,0.2000,0.0000,0.0000
7755,0.0000,0.2000,0.2000,0.0000,0.0000
7756,0.0000,0.2000,0.2000,0.0000,0.0000
7757,0.0000,0.2000,0.2000,0.0000,0.0000
7758,0.0000,0.2000,0.2000,0.0000,0.0000
7759,0.0000,0.2000,0.2000,0.0000,0.0000
7760,0.0000,0.2000,0.2000,0.0000,0.0000
7761,0.0000,0.2000,0.2000,0.0000,0.0000
7762,0.0000,0.2000,0.2000,0.0000,0.0000
7763,0.0000,0.2000,0.2000,0.0000,0.0000
7764,0.0000,0.2000,0.2000,0.0000,0.0000
7765,0.0000,0.2000,0.2000,0.0000,0.0000
7766,0.0000,0.2000,0.2000,0.0000,0.0000
7767,0.0000,0.1962,0.1958,0.0196,-0.1743
7768,0.0000,0.2000,0.2000,0.0000,0.0000
7769,0.0000,0.1843,0.1777,0.1165,-1.0367
7770,0.0000,0.2000,0.2000,0.0000,0.0000
7771,0.0000,0.1785,0.1637,0.2010,-1.7913
7772,0.0000,0.2000,0.2000,0.0000,0.0000
7773,0.0000,0.2000,0.2000,0.0000,0.0000
7774,0.0000,0.2000,0.2000,0.0000,0.0000
7775,0.0000,0.2000,0.2000,0.0000,0.0000
7776,0.0000,0.2118,0.1926,0.1132,-1.0273
7777,0.0000,0.2000,0.2000,0.0000,0.0000
7778,0.0000,0.2000,0.2000,0.0000,0.0000
7779,0.0000,0.2000,0.2000,0.0000,0.0000
7780,0.0000,0.2000,0.2000,0.0000,0.0000
7781,0.0000,0.2000,0.2000,0.0000,0.0000
7782,0.0000,0.2345,0.1976,0.0670,-0.6063
7783,0.0000,0.2000,0.2000,0.0000,0.0000
7784,0.0000,0.2564,0.1960,0.1096,-0.9920
7785,0.0000,0.2000,0.2000,0.0000,0.0000
7786,0.0000,0.2000,0.2000,0.0000,0.0000
7787,0.0000,0.2000,0.2000,0.0000,0.0000
7788,0.0000,0.2000,0.2000,0.0000,0.0000
7789,0.0000,0.2000,0.2000,0.0000,0.0000
7790,0.0000,0.2000,0.2000,0.0000,0.0000
7791,0.0519,0.2149,0.2112,0.0000,-3.2195
7792,0.0000,0.2000,0.2000,0.0000,0.0000
7793,0.0000,0.2000,0.2000,0.0000,0.0000
7794,0.0000,0.2000,0.2000,0.0000,0.0000
7795,0.0353,0.2561,0.2860,0.3410,-10.7963
7796,0.0200,0.2922,0.7124,0.8261,-10.7991
7797,0.0707,0.2542,0.4572,0.4539,-10.7952
7798,0.0796,0.2601,0.5588,0.5998,-10.7955
7799,0.0335,0.3450,0.3369,0.7829,-10.7983
7800,0.0603,0.3191,0.3298,0.6956,-10.7967
7801,0.0119,0.3498,0.2675,0.6495,-10.7987
7802,0.0000,0.4025,0.5573,0.7355,-10.7994
7803,0.0000,0.4694,0.5635,0.8924,-10.8001
7804,0.0000,0.3746,0.5158,0.6208,-10.7990
7805,0.0111,0.2158,0.2306,0.0000,-0.4473
7806,0.0000,0.2000,0.2000,0.0000,0.0000
7807,0.0002,0.2013,0.2013,0.0014,-0.0295
7808,0.0000,0.2000,0.2000,0.0000,0.0000
7809,0.0000,0.2000,0.2000,0.0000,0.0000
7810,0.0000,0.2000,0.2000,0.0000,0.0000
7811,0.0000,0.2234,0.2081,0.0601,-0.7275
7812,0.0000,0.3696,0.2587,0.4364,-5.2799
7813,0.0000,0.5898,0.4491,0.8924,-10.8001
7814,0.0000,0.5488,0.3852,0.8066,-9.7608
7815,0.0000,0.4765,0.3206,0.7073,-8.5585
7816,0.0000,0.4650,0.2917,0.6818,-8.2495
7817,0.0000,0.3504,0.4411,0.5376,-10.7987
7818,0.0000,0.2000,0.2000,0.0000,0.0000
7819,0.0000,0.2000,0.2000,0.0000,0.0000
7820,0.0000,0.2000,0.2000,0.0000,0.0000
7821,0.0000,0.2000,0.2000,0.0000,0.0000
7822,0.0000,0.2000,0.2000,0.0000,0.0000
7823,0.0000,0.2000,0.2000,0.0000,0.0000
7824,0.0000,0.2000,0.2000,0.0000,0.0000
7825,0.0000,0.2000,0.2000,0.0000,0.0000
7826,0.0000,0.2000,0.2000,0.0000,0.0000
7827,0.0000,0.2000,0.2000,0.0000,0.0000
7828,0.0000,0.2000,0.2000,0.0000,0.0000
7829,0.0000,0.2000,0.2000,0.0000,0.0000
7830,0.0000,0.2000,0.2000,0.0000,0.0000
7831,0.0000,0.2000,0.2000,0.0000,0.0000
7832,0.0000,0.1943,0.1936,0.0296,-0.2630
7833,0.0000,0.2000,0.2000,0.0000,0.0000
